name,xmm_pointed_MCXC_R500,xmm_pointed_0.3Mpc,xmm_pointed_0.5Mpc,xmm_pointed_1.0Mpc,xmm_pointed_2.0Mpc,chandra_MCXC_R500,chandra_0.3Mpc,chandra_0.5Mpc,chandra_1.0Mpc,chandra_2.0Mpc,rosat_pointed_pspc_MCXC_R500,rosat_pointed_pspc_0.3Mpc,rosat_pointed_pspc_0.5Mpc,rosat_pointed_pspc_1.0Mpc,rosat_pointed_pspc_2.0Mpc,rosat_pointed_hri_MCXC_R500,rosat_pointed_hri_0.3Mpc,rosat_pointed_hri_0.5Mpc,rosat_pointed_hri_1.0Mpc,rosat_pointed_hri_2.0Mpc,nustar_pointed_MCXC_R500,nustar_pointed_0.3Mpc,nustar_pointed_0.5Mpc,nustar_pointed_1.0Mpc,nustar_pointed_2.0Mpc,swift_xrt_MCXC_R500,swift_xrt_0.3Mpc,swift_xrt_0.5Mpc,swift_xrt_1.0Mpc,swift_xrt_2.0Mpc,asca_MCXC_R500,asca_0.3Mpc,asca_0.5Mpc,asca_1.0Mpc,asca_2.0Mpc,suzaku_MCXC_R500,suzaku_0.3Mpc,suzaku_0.5Mpc,suzaku_1.0Mpc,suzaku_2.0Mpc,erosita_all_sky_de_dr1_MCXC_R500,erosita_all_sky_de_dr1_0.3Mpc,erosita_all_sky_de_dr1_0.5Mpc,erosita_all_sky_de_dr1_1.0Mpc,erosita_all_sky_de_dr1_2.0Mpc
LoVoCCS-61,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.38,0.39,0.41,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-63,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-65,0.69,1.0,1.0,0.65,0.16,1.0,1.0,1.0,0.99,0.47,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.0,1.0,0.94,0.35,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-66A,0.82,1.0,1.0,0.79,0.5,0.97,1.0,1.0,0.96,0.65,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-66B,1.0,1.0,1.0,1.0,0.61,0.94,1.0,1.0,0.92,0.57,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-67,0.84,1.0,1.0,0.78,0.19,0.95,1.0,1.0,0.93,0.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.38,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-74,1.0,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-75,1.0,1.0,1.0,1.0,0.8,0.96,1.0,1.0,0.93,0.49,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.05,0.21,0.35,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-76,1.0,1.0,1.0,1.0,0.65,0.99,1.0,1.0,0.99,0.81,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-80,1.0,1.0,1.0,1.0,0.53,0.88,1.0,1.0,0.85,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-85,1.0,1.0,1.0,1.0,0.78,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-89,1.0,1.0,1.0,1.0,0.9,0.96,1.0,1.0,0.93,0.73,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-90,0.79,1.0,0.98,0.76,0.46,1.0,1.0,1.0,0.99,0.52,1.0,1.0,1.0,1.0,1.0,0.37,0.16,0.29,0.38,0.44,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.05,1.0,1.0,1.0,1.0,1.0,0.12,0.0,0.0,0.15,0.29,0.0,0.0,0.0,0.0,0.0
LoVoCCS-93A,0.88,1.0,1.0,0.83,0.46,0.72,1.0,0.89,0.71,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.88,1.0,1.0,0.85,0.45,0.58,1.0,0.84,0.56,0.23,1.0,1.0,1.0,1.0,0.66,0.92,1.0,1.0,0.9,0.49,1.0,1.0,1.0,1.0,1.0
LoVoCCS-93B,0.67,1.0,0.99,0.63,0.38,0.89,1.0,1.0,0.85,0.41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9,1.0,1.0,0.88,0.45,0.81,1.0,1.0,0.77,0.23,0.91,1.0,1.0,0.89,0.59,0.93,1.0,1.0,0.91,0.45,1.0,1.0,1.0,1.0,1.0
LoVoCCS-94,1.0,1.0,1.0,1.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,1.0,0.93,0.8,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
