LoVoCCSID,cluster_name,bcg1_name,bcg1_ra,bcg1_dec,bcg1_z,bcg1_z_src,bcg1_pa,bcg1_pa_src,bcg1_vlass,bcg1_notes,bcg2_name,bcg2_ra,bcg2_dec,bcg2_z,bcg2_z_src,bcg2_pa,bcg2_pa_src,bcg2_vlass,bcg2_notes,bcg3_name,bcg3_ra,bcg3_dec,bcg3_z,bcg3_z_src,bcg3_pa,bcg3_pa_src,bcg3_vlass,bcg3_notes
85,RXC J0049.4-2931,,12.3452,-29.5203,0.108,https://dev-rcsed2.voxastro.org/data/galaxy/67577,93.0,RCSED,False,Perhaps lensing features?; BCG not obvious,,,,,,,,,,,,,,,,,,
89,A2554,,348.0826,-21.5023,0.109,https://dev-rcsed2.voxastro.org/data/galaxy/49119,174.5,RCSED,False,VLASS maybe but too faint to say,,,,,,,,,,,,,,,,,,
90,A2033,,227.8605,6.3492,0.081,https://dev-rcsed2.voxastro.org/data/galaxy/38424,57.1,RCSED,True,VLASS significant jets; nice foreground star forming spiral nearly in projection with bCG,,,,,,,,,,,,,,,,,,
93,A3395,,96.9011,-54.4494,0.0484,https://dev-rcsed2.voxastro.org/data/galaxy/11751,123.5,RCSED,,,,,,,,,,,,,,,,,,,,
94,A1606,,191.1508,-11.9944,0.0951,https://dev-rcsed2.voxastro.org/data/galaxy/164698,19.0,RCSED,False,Legacy Survey incomplete coverage,,,,,,,,,,,,,,,,,,
98,A2670,,358.5576,-10.4190,0.0776,https://dev-rcsed2.voxastro.org/data/galaxy/50427,95.1,RCSED,True,VLASS point,,,,,,,,,,,,,,,,,,
99,A3532,,194.3414,-30.3633,0.0543,https://dev-rcsed2.voxastro.org/data/galaxy/4496555,85.0,RCSED,True,VLASS significant jets (wonky),,194.3335,-30.3641,0.0548,https://dev-rcsed2.voxastro.org/data/galaxy/4496551,,,False,,,,,,,,,,
108,RXC J1139.4-3327,,174.8480,-33.4465,0.11,https://dev-rcsed2.voxastro.org/data/galaxy/4513169,,,,,,,,,,,,,,,,,,,,,,
119,RX J0820.9+0751/RXC J0821.0+0751,,125.2595,7.8635,0.11,https://ned.ipac.caltech.edu/byname?objname=WISEA+J082102.29%2B075147.6&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,False,Blended or interacting?,,,,,,,,,,,,,,,,,,
121,A3128,,52.4601,-52.5793,0.0639,https://dev-rcsed2.voxastro.org/data/galaxy/8175,27.4,RCSED,,,,52.4714,-52.5153,0.0391,https://dev-rcsed2.voxastro.org/data/galaxy/8177,93.0,RCSED,,Discrepant redshifts between BCG2 and 1,,,,,,,,,
122,A1023,,156.9944,-6.7990,0.116,https://dev-rcsed2.voxastro.org/data/galaxy/57045,166.6,RCSRED,True,VLASS point,,,,,,,,,,,,,,,,,,
123,A3528,,193.6704,-29.2274,0.056,https://ned.ipac.caltech.edu/byname?objname=ESO+443-+G+007&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,True,VLASS significant jets (wonky),,,,,,,,,,,,,,,,,,
131,A761,,137.6495,-10.5822,0.0921,https://ned.ipac.caltech.edu/byname?objname=WISEA+J091035.96-103456.8&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,True,VLASS significant jets,,,,,,,,,,,,,,,,,,
134,A3825,,329.6091,-60.4257,0.0753,https://ned.ipac.caltech.edu/byname?objname=WISEA+J215826.19-602534.0&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,,NED has another redshift of 0.0634,,329.6074,-60.3913,0.0757,https://ned.ipac.caltech.edu/byname?objname=WISEA+J215825.79-602328.5&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,,,,,,,,,,,
